                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                   0.82,                 1.2519,                 1.3844,                0.58761,                0.74139,                0.70521,                 0.5877,                0.58517,                0.91139,                 1.1399,              0.0066787,              0.0066787,              0.0066787
                    106,                0.82273,                 1.2156,                 1.3657,                0.69415,                0.73111,                0.69463,                0.56448,                0.65253,                 0.9102,                 1.2056,              0.0066468,              0.0066468,              0.0066468
                    107,                0.84462,                 1.2547,                 1.3825,                 0.6447,                0.79417,                0.75064,                0.62835,                0.56786,                0.84331,                 1.1319,              0.0066148,              0.0066148,              0.0066148
                    108,                0.81321,                 1.2337,                 1.3615,                0.63199,                0.76321,                0.72858,                0.61111,                0.57717,                0.86948,                 1.1277,              0.0065829,              0.0065829,              0.0065829
                    109,                0.77299,                 1.2018,                 1.3309,                0.60833,                0.79459,                0.74405,                0.59836,                0.61952,                0.88003,                  1.181,               0.006551,               0.006551,               0.006551
                    110,                0.78615,                 1.2801,                 1.3694,                0.66372,                0.83979,                0.78192,                0.65639,                0.54572,                0.78851,                 1.1097,               0.006519,               0.006519,               0.006519
                    111,                0.81716,                 1.2099,                 1.3592,                0.66972,                0.78653,                0.76392,                 0.6476,                 0.5571,                0.81358,                 1.1196,              0.0064871,              0.0064871,              0.0064871
                    112,                0.81241,                 1.1981,                 1.3536,                0.66693,                 0.8107,                0.78193,                 0.6585,                 0.5454,                0.77911,                 1.1162,              0.0064552,              0.0064552,              0.0064552
                    113,                0.80245,                 1.2221,                 1.3489,                 0.6709,                 0.7706,                0.78413,                0.66526,                0.55668,                0.79736,                 1.1276,              0.0064232,              0.0064232,              0.0064232
                    114,                0.82907,                 1.2022,                 1.3704,                0.67582,                0.74998,                0.75048,                0.63781,                0.54348,                0.82876,                 1.1051,              0.0063913,              0.0063913,              0.0063913
                    115,                0.82344,                 1.2214,                 1.3765,                0.69647,                0.81251,                0.80935,                0.68392,                0.54625,                 0.7852,                 1.1057,              0.0063594,              0.0063594,              0.0063594
                    116,                0.78051,                 1.1798,                 1.3283,                0.66338,                0.82428,                0.79541,                0.66428,                0.52976,                0.78595,                 1.0907,              0.0063274,              0.0063274,              0.0063274
                    117,                0.75711,                 1.1514,                 1.3154,                0.71734,                0.73782,                0.78476,                0.65732,                0.54183,                0.77631,                 1.0965,              0.0062955,              0.0062955,              0.0062955
                    118,                0.75601,                 1.1502,                 1.3192,                0.71593,                0.77453,                0.80047,                0.67501,                0.53377,                0.75884,                 1.0932,              0.0062635,              0.0062635,              0.0062635
                    119,                 0.7803,                 1.1927,                  1.347,                 0.6985,                0.79742,                 0.8213,                0.69222,                0.53039,                0.76472,                 1.0929,              0.0062316,              0.0062316,              0.0062316
                    120,                0.78004,                 1.1692,                 1.3337,                0.79496,                0.80331,                0.84969,                0.72389,                0.52337,                0.73069,                 1.0773,              0.0061997,              0.0061997,              0.0061997
                    121,                0.75294,                 1.1181,                 1.3159,                0.71653,                0.78938,                0.80016,                0.66963,                0.56338,                0.77629,                 1.1157,              0.0061677,              0.0061677,              0.0061677
                    122,                0.75444,                 1.1112,                 1.3084,                  0.708,                0.80977,                0.82839,                0.70149,                0.53261,                0.76939,                 1.0879,              0.0061358,              0.0061358,              0.0061358
                    123,                0.75369,                 1.1484,                 1.3074,                 0.6733,                0.71919,                0.75852,                0.62827,                0.56653,                 0.8917,                 1.1262,              0.0061039,              0.0061039,              0.0061039
                    124,                0.76008,                 1.1366,                 1.3107,                0.74761,                0.78963,                0.86668,                0.74068,                0.50603,                0.69191,                 1.0616,              0.0060719,              0.0060719,              0.0060719
                    125,                0.74487,                 1.1077,                 1.2858,                0.76606,                 0.8035,                0.86098,                0.74335,                0.50426,                 0.7021,                 1.0614,                0.00604,                0.00604,                0.00604
